SiraNo;KavsakAdi;AkimYonu;Tarih;SaatAraligi;Otomobil;Kamyonet;Taksi;TMinibus;Servis;IETT-Halk;AgirTasit;Toplam;KayitTarihSaat;SayimYapanKisi;Kontrol
1;Sultangazi - 40028- Sabah;1->4;5.5.2017;07:00-07:15;6;5;0;1;1;0;2;15;10.5.2017 09:01;Uður Savaþýr;267912
2;Sultangazi - 40028- Sabah;1->4;5.5.2017;07:15-07:30;4;5;0;1;1;0;0;11;10.5.2017 09:06;Uður Savaþýr;2411208
3;Sultangazi - 40028- Sabah;1->4;5.5.2017;07:30-07:45;5;3;0;0;2;0;0;10;10.5.2017 09:09;Uður Savaþýr;1808406
4;Sultangazi - 40028- Sabah;1->4;5.5.2017;07:45-08:00;7;3;0;0;2;0;1;13;10.5.2017 09:11;Uður Savaþýr;4420548
5;Sultangazi - 40028- Sabah;1->4;5.5.2017;08:00-08:15;3;3;0;1;2;0;1;10;10.5.2017 09:14;Uður Savaþýr;3884724
6;Sultangazi - 40028- Sabah;1->4;5.5.2017;08:15-08:30;3;3;0;1;0;0;0;7;10.5.2017 09:17;Uður Savaþýr;3817746
7;Sultangazi - 40028- Sabah;1->4;5.5.2017;08:30-08:45;9;1;0;0;2;0;0;12;10.5.2017 09:20;Uður Savaþýr;5626152
8;Sultangazi - 40028- Sabah;1->4;5.5.2017;08:45-09:00;7;2;0;0;1;0;0;10;10.5.2017 09:24;Uður Savaþýr;5425218
9;Sultangazi - 40028- Sabah;1->2;5.5.2017;07:00-07:15;21;11;3;0;19;0;1;55;10.5.2017 09:31;Uður Savaþýr;435357
10;Sultangazi - 40028- Sabah;1->2;5.5.2017;07:15-07:30;33;14;2;0;18;0;0;67;10.5.2017 09:45;Uður Savaþýr;5559174
11;Sultangazi - 40028- Sabah;1->2;5.5.2017;07:30-07:45;41;9;2;0;12;0;0;64;10.5.2017 09:51;Uður Savaþýr;5961042
12;Sultangazi - 40028- Sabah;1->2;5.5.2017;07:45-08:00;40;15;4;0;11;1;4;75;10.5.2017 09:57;Uður Savaþýr;569313
13;Sultangazi - 40028- Sabah;1->2;5.5.2017;08:00-08:15;40;11;3;0;7;0;0;61;10.5.2017 10:07;Uður Savaþýr;3147966
14;Sultangazi - 40028- Sabah;1->2;5.5.2017;08:15-08:30;44;13;3;0;7;0;2;69;10.5.2017 10:14;Uður Savaþýr;4621482
15;Sultangazi - 40028- Sabah;1->2;5.5.2017;08:30-08:45;34;13;2;0;5;0;2;56;10.5.2017 10:20;Uður Savaþýr;4487526
16;Sultangazi - 40028- Sabah;1->2;5.5.2017;08:45-09:00;44;13;1;0;7;0;1;66;10.5.2017 10:25;Uður Savaþýr;4621482
17;Sultangazi - 40028- Sabah;1->3;5.5.2017;07:00-07:15;6;2;0;1;5;0;0;14;10.5.2017 10:33;Uður Savaþýr;3482856
18;Sultangazi - 40028- Sabah;1->3;5.5.2017;07:15-07:30;7;3;2;0;5;0;0;17;10.5.2017 10:41;Uður Savaþýr;4152636
19;Sultangazi - 40028- Sabah;1->3;5.5.2017;07:30-07:45;14;6;0;0;6;0;1;27;10.5.2017 10:51;Uður Savaþýr;6228954
20;Sultangazi - 40028- Sabah;1->3;5.5.2017;07:45-08:00;21;3;4;0;4;0;0;32;10.5.2017 10:59;Uður Savaþýr;569313
21;Sultangazi - 40028- Sabah;1->3;5.5.2017;08:00-08:15;16;5;1;0;2;0;1;25;10.5.2017 11:05;Uður Savaþýr;4554504
22;Sultangazi - 40028- Sabah;1->3;5.5.2017;08:15-08:30;17;4;0;0;5;0;0;26;10.5.2017 11:13;Uður Savaþýr;2880054
23;Sultangazi - 40028- Sabah;1->3;5.5.2017;08:30-08:45;10;5;0;0;4;0;0;19;10.5.2017 11:18;Uður Savaþýr;3281922
24;Sultangazi - 40028- Sabah;1->3;5.5.2017;08:45-09:00;10;6;0;0;4;0;0;20;10.5.2017 11:25;Uður Savaþýr;4554504
25;Sultangazi - 40028- Sabah;1->1;5.5.2017;07:00-07:15;4;0;2;0;3;0;0;9;10.5.2017 11:48;Uður Savaþýr;669,78
26;Sultangazi - 40028- Sabah;1->1;5.5.2017;07:15-07:30;4;1;1;0;1;0;0;7;10.5.2017 11:59;Uður Savaþýr;7568514
27;Sultangazi - 40028- Sabah;1->1;5.5.2017;07:30-07:45;0;1;0;0;0;0;0;1;10.5.2017 13:07;Uður Savaþýr;2545164
28;Sultangazi - 40028- Sabah;1->1;5.5.2017;07:45-08:00;1;1;0;0;0;0;1;3;10.5.2017 13:18;Uður Savaþýr;3817746
29;Sultangazi - 40028- Sabah;1->1;5.5.2017;08:00-08:15;1;0;0;0;0;0;0;1;10.5.2017 13:38;Uður Savaþýr;7300602
30;Sultangazi - 40028- Sabah;1->1;5.5.2017;08:15-08:30;1;0;1;0;0;0;0;2;10.5.2017 13:43;Uður Savaþýr;7300602
31;Sultangazi - 40028- Sabah;1->1;5.5.2017;08:30-08:45;0;1;0;0;0;0;0;1;10.5.2017 13:47;Uður Savaþýr;7233624
32;Sultangazi - 40028- Sabah;1->1;5.5.2017;08:45-09:00;2;0;0;0;1;0;0;3;10.5.2017 13:53;Uður Savaþýr;6764778
33;Sultangazi - 40028- Sabah;2->3;5.5.2017;07:00-07:15;10;0;4;0;3;2;0;19;10.5.2017 13:58;Uður Savaþýr;8171316
34;Sultangazi - 40028- Sabah;2->3;5.5.2017;07:15-07:30;15;5;5;0;9;2;0;36;10.5.2017 14:02;Uður Savaþýr;2880054
35;Sultangazi - 40028- Sabah;2->3;5.5.2017;07:30-07:45;25;11;5;0;9;1;0;51;10.5.2017 14:05;Uður Savaþýr;3750768
36;Sultangazi - 40028- Sabah;2->3;5.5.2017;07:45-08:00;20;9;3;0;9;1;0;42;10.5.2017 14:10;Uður Savaþýr;2880054
37;Sultangazi - 40028- Sabah;2->3;5.5.2017;08:00-08:15;21;8;3;0;7;1;0;40;10.5.2017 14:14;Uður Savaþýr;5157306
38;Sultangazi - 40028- Sabah;2->3;5.5.2017;08:15-08:30;21;11;5;0;6;0;0;43;10.5.2017 14:18;Uður Savaþýr;5894064
39;Sultangazi - 40028- Sabah;2->3;5.5.2017;08:30-08:45;22;7;3;0;2;1;0;35;10.5.2017 14:23;Uður Savaþýr;3817746
40;Sultangazi - 40028- Sabah;2->3;5.5.2017;08:45-09:00;12;8;3;0;1;0;0;24;10.5.2017 14:27;Uður Savaþýr;4554504
41;Sultangazi - 40028- Sabah;2->1;5.5.2017;07:00-07:15;62;16;4;3;25;0;1;111;10.5.2017 15:15;Uður Savaþýr;2076318
42;Sultangazi - 40028- Sabah;2->1;5.5.2017;07:15-07:30;57;13;9;0;22;0;1;102;10.5.2017 15:46;Uður Savaþýr;5090328
43;Sultangazi - 40028- Sabah;2->1;5.5.2017;07:30-07:45;78;12;4;1;8;0;1;104;10.5.2017 16:35;Uður Savaþýr;3951702
44;Sultangazi - 40028- Sabah;2->1;5.5.2017;07:45-08:00;57;12;7;0;7;0;1;84;10.5.2017 17:00;Uður Savaþýr;1942362
50;Sultangazi - 40028- Sabah;2->1;5.5.2017;08:00-08:15;70;20;7;1;6;0;1;105;11.5.2017 09:16;Uður Savaþýr;502335
51;Sultangazi - 40028- Sabah;2->1;5.5.2017;08:15-08:30;80;19;4;0;5;0;4;112;11.5.2017 09:53;Uður Savaþýr;7635492
52;Sultangazi - 40028- Sabah;2->1;5.5.2017;08:30-08:45;57;26;9;0;8;0;0;100;11.5.2017 10:16;Uður Savaþýr;4755438
53;Sultangazi - 40028- Sabah;2->1;5.5.2017;08:45-09:00;51;19;3;0;9;0;1;83;11.5.2017 10:38;Uður Savaþýr;569313
1;Sultangazi - 40028- Sabah;2->2;5.5.2017;07:00-07:15;0;2;1;1;1;0;1;6;10.5.2017 15:15;Uður Savaþýr;2545164
2;Sultangazi - 40028- Sabah;2->2;5.5.2017;07:15-07:30;1;1;3;1;0;0;0;6;10.5.2017 15:46;Uður Savaþýr;4487526
3;Sultangazi - 40028- Sabah;2->2;5.5.2017;07:30-07:45;2;0;0;1;0;0;0;3;10.5.2017 16:34;Uður Savaþýr;7300602
4;Sultangazi - 40028- Sabah;2->2;5.5.2017;07:45-08:00;1;0;2;1;1;0;0;5;10.5.2017 17:00;Uður Savaþýr;2277252
5;Sultangazi - 40028- Sabah;2->2;5.5.2017;08:00-08:15;1;0;1;0;0;0;0;2;11.5.2017 09:17;Uður Savaþýr;234423
6;Sultangazi - 40028- Sabah;2->2;5.5.2017;08:15-08:30;1;0;0;0;1;0;0;2;11.5.2017 09:53;Uður Savaþýr;7903404
7;Sultangazi - 40028- Sabah;2->2;5.5.2017;08:30-08:45;1;1;0;0;1;0;0;3;11.5.2017 10:16;Uður Savaþýr;4219614
